Index,Sprite,Position,Rotation,Scale
148,2,"(6037.0, 6495.0)",0,153.0
152,1,"(6693.0, 6460.0)",0,142.0
152,1,"(6693.0, 6460.0)",0,142.0
158,0,"(6106.0, 6506.0)",0,140.0
158,0,"(6106.0, 6506.0)",0,140.0
294,1,"(7082.5, 6920.5)",0,165.0
294,1,"(7082.5, 6920.5)",0,165.0
300,1,"(6724.5, 7375.5)",0,151.0
300,1,"(6724.5, 7375.5)",0,151.0
306,1,"(6968.5, 7988.5)",0,159.0
306,1,"(6968.5, 7988.5)",0,159.0
312,1,"(6578.0, 8044.0)",0,149.0
316,1,"(6134.0, 7583.0)",0,160.0
316,1,"(6134.0, 7583.0)",0,160.0
322,1,"(5453.5, 7615.5)",144.0,141.0
322,1,"(5453.5, 7615.5)",144.0,141.0
330,1,"(5177.5, 6884.5)",169.0,153.0
330,1,"(5177.5, 6884.5)",169.0,153.0
338,1,"(5527.0, 6506.0)",0,141.0
